City,year,No. Stations
Rohtak,2018,1.0
Rohtak,2019,1.0
Rohtak,2020,1.0
Rohtak,2021,1.0
Rohtak,2022,1.0
Rohtak,2023,1.0
Rourkela,2022,1.0
Rourkela,2023,2.282122905027933
Rupnagar,2018,1.0
Rupnagar,2019,1.0
Rupnagar,2020,1.0
Rupnagar,2021,1.0
Rupnagar,2022,1.0
Rupnagar,2023,1.0
Sagar,2020,1.0
Sagar,2021,1.0
Sagar,2022,1.1901639344262296
Sagar,2023,1.4357541899441342
Saharsa,2021,1.0
Saharsa,2022,1.0
Saharsa,2023,1.0
Salem,2022,1.0
Salem,2023,1.0
Samastipur,2022,1.0
Samastipur,2023,1.0
Sangli,2023,1.0
Sasaram,2021,1.0
Sasaram,2022,1.0
Sasaram,2023,1.0
Satna,2018,1.0
Satna,2019,1.0
Satna,2020,1.0
Satna,2021,1.0
Satna,2022,1.0
Satna,2023,1.0
Sawai Madhopur,2023,1.0
Shillong,2019,1.0
Shillong,2020,1.0
Shillong,2021,1.0
Shillong,2022,1.2952380952380953
Shillong,2023,1.3276353276353277
Shivamogga,2020,1.0
Shivamogga,2021,1.0
Shivamogga,2022,1.0
Shivamogga,2023,1.0
Sikar,2023,1.0
Silchar,2023,1.0
Siliguri,2018,1.0
Siliguri,2019,1.0
Siliguri,2020,1.0
Siliguri,2021,1.0
Siliguri,2022,1.0
Siliguri,2023,1.0
Singrauli,2017,1.0
Singrauli,2018,1.0
Singrauli,2019,1.0
Singrauli,2020,1.0
Singrauli,2021,1.0
Singrauli,2022,1.0
Singrauli,2023,1.0
Sirohi,2023,1.0
Sirsa,2019,1.0
Sirsa,2020,1.0
Sirsa,2021,1.0
Sirsa,2022,1.0
Sirsa,2023,1.0
Sivasagar,2022,1.0
Sivasagar,2023,1.0
Siwan,2021,1.0
Siwan,2022,1.0
Siwan,2023,1.0
Solapur,2016,1.0
Solapur,2017,1.0
Solapur,2018,1.0
Solapur,2019,1.0
Solapur,2020,1.0
Solapur,2021,1.0
Solapur,2022,1.0
Solapur,2023,2.2005813953488373
Sonipat,2019,1.0
Sonipat,2020,1.0
Sonipat,2021,1.0
Sonipat,2022,1.0
Sonipat,2023,1.0
Sri Ganganagar,2023,1.0
Srinagar,2021,1.0
Srinagar,2022,1.0
Srinagar,2023,1.0
Suakati,2022,1.0
Suakati,2023,1.0
Surat,2022,1.0
Surat,2023,1.0
Talcher,2018,1.0
Talcher,2019,1.0
Talcher,2020,1.0
Talcher,2021,1.0
Talcher,2022,1.0
Talcher,2023,1.0
Tensa,2022,1.0
Tensa,2023,1.0
Thane,2016,1.0
Thane,2017,1.0
Thane,2018,1.0
Thane,2019,1.0
Thane,2020,1.0
Thane,2021,1.0
Thane,2022,1.0
Thane,2023,1.6385964912280702
Thiruvananthapuram,2017,1.0
Thiruvananthapuram,2018,1.0
